timestamp,gesture,confidence
20:00:36.516,fist,1.000
20:00:40.555,rock,0.867
20:00:41.588,fist,0.968
20:00:43.704,rock,0.695
20:00:47.470,thumbs up,0.988
20:00:47.799,call me,0.998
20:00:50.032,rock,0.995
20:00:51.598,thumbs up,1.000
20:00:56.763,thumbs down,1.000
20:01:01.968,thumbs up,1.000
20:01:05.994,okay,1.000
20:01:09.338,stop,0.701
20:01:17.061,okay,0.954
20:01:19.595,stop,0.952
20:01:26.632,live long,1.000
20:01:28.888,thumbs up,1.000
20:01:30.658,okay,0.995
20:01:32.359,live long,0.748
20:01:34.121,okay,0.803
20:01:48.342,live long,1.000
20:01:50.185,thumbs up,0.672
20:01:52.277,call me,1.000
20:01:54.720,thumbs up,0.990
20:01:55.562,fist,1.000
20:01:58.667,thumbs up,0.899
20:02:05.522,fist,1.000
20:02:09.247,call me,1.000
20:02:12.025,thumbs up,1.000
20:02:17.689,thumbs down,1.000
20:02:23.996,okay,0.826
20:02:32.296,stop,0.674
20:02:32.761,okay,0.645
20:02:41.192,live long,1.000
20:02:58.800,thumbs down,0.985
20:03:10.750,fist,0.690
20:03:17.233,thumbs up,1.000
20:03:20.016,thumbs down,1.000
20:03:25.897,stop,0.972
20:03:28.169,okay,0.993
20:03:34.187,fist,0.000
20:03:35.609,call me,0.534
20:03:36.353,thumbs down,0.628
20:03:40.048,rock,1.000
20:03:50.950,stop,0.956
20:03:51.408,live long,1.000
20:03:53.952,fist,1.000
20:03:56.472,stop,0.881
20:03:59.101,thumbs down,1.000
20:03:59.257,call me,1.000
20:04:06.038,thumbs down,0.000
20:04:08.780,peace,1.000
20:04:13.457,okay,0.998
20:04:17.564,smile,1.000
20:04:27.213,thumbs up,1.000
20:04:28.706,thumbs down,1.000
20:04:31.032,rock,0.642
20:04:36.401,okay,0.998
20:04:38.961,peace,1.000
20:04:41.976,call me,1.000
20:04:44.586,stop,0.979
20:04:47.185,fist,1.000
20:04:49.881,live long,1.000
20:04:52.943,smile,1.000
20:05:04.553,rock,1.000
20:05:18.186,thumbs down,0.683
20:05:19.691,thumbs up,1.000
20:05:27.856,fist,0.546
20:05:29.079,thumbs up,1.000
20:05:31.680,fist,0.969
20:05:32.576,thumbs down,0.543
20:05:33.472,fist,0.736
20:05:35.585,thumbs down,0.930
20:05:36.413,fist,0.847
20:05:39.808,thumbs down,0.533
20:05:40.130,thumbs up,0.850
20:05:40.416,fist,0.756
20:05:40.571,thumbs up,0.853
20:05:40.618,fist,0.000
20:05:44.545,thumbs down,0.754
20:05:45.745,fist,0.918
20:05:47.760,thumbs up,0.935
20:05:49.552,fist,0.983
20:05:53.282,thumbs up,0.714
20:05:55.394,peace,0.626
20:05:56.290,fist,1.000
20:05:59.233,thumbs down,0.690
20:06:00.305,fist,0.976
20:06:02.457,thumbs up,0.934
20:06:04.705,smile,0.664
20:06:05.041,thumbs up,1.000
20:06:06.228,thumbs down,0.999
20:06:07.513,thumbs up,1.000
20:06:08.258,fist,0.995
20:06:10.560,thumbs down,0.822
20:07:16.714,thumbs up,0.999
20:07:23.346,smile,0.990
20:07:27.793,thumbs up,0.950
20:07:47.885,thumbs down,0.996
20:07:53.984,thumbs up,0.626
20:07:54.285,thumbs down,0.672
20:07:54.580,smile,0.831
20:07:54.723,thumbs up,0.998
20:07:55.249,smile,0.986
20:07:56.849,thumbs up,0.993
20:07:57.603,smile,0.988
20:08:02.587,thumbs down,0.000
20:08:02.989,fist,0.999
20:08:08.282,thumbs up,0.964
